num,dmhigh [g],dmlow [g],err [g],num,dmhighreal [g],err [g],A [m^2],err [m^2],chi,err
1,0.012,-0.012,0.003,1,-0.012,0.003,0.000283,0.0000953,-0.00000541,0.00000227
2,-0.012,0.014,0.005,2,0.013,0.005,0.000281,0.0000953,0.00000590,0.00000309
3,-0.131,0.131,0.005,3,0.131,0.005,0.000283,0.0000953,0.0000590,0.0000201
4,0.072,-0.075,0.004,4,-0.073,0.004,0.000291,0.0000956,-0.0000322,0.0000107
5a,-0.184,0.200,0.012,5,0.195,0.017,0.000284,0.0000954,0.0000877,0.0000305
5b,-0.184,0.213,0.021,6,-0.059,0.010,0.000279,0.0000952,-0.0000269,0.0000103
6,0.058,-0.060,0.010,7,0.260,0.008,0.000234,0.0000937,0.0001418,0.0000570
7,-0.255,0.266,0.008,8,2.562,0.013,0.000284,0.0000954,0.001147,0.000385
8,-2.570,2.553,0.013,9,4.758,0.114,0.000315,0.0000966,0.001923,0.000592
9,-4.838,4.677,0.114,10,0.379,0.007,0.000300,0.0000960,0.0001608,0.0000516
10,-0.375,0.382,0.007,11,0.281,0.014,0.000281,0.0000953,0.0001277,0.0000438
11,-0.275,0.288,0.014,12,0.069,0.005,0.000338,0.0000975,0.00002597,0.00000774
12,-0.068,0.070,0.005,13,0.038,0.004,0.000326,0.0000970,0.00001505,0.00000471
13,-0.037,0.040,0.004,14,1.243,0.034,0.000296,0.0000958,0.000535,0.000174
14,-1.219,1.267,0.034,15,1.040,0.013,0.000297,0.0000959,0.000446,0.000144
15,-1.034,1.045,0.013,16,2.113,0.145,0.000284,0.0001100,0.000946,0.000372
16,-2.215,2.010,0.145,,,,,,,